date,month_year,boutique_id,boutique_name,market,category,product,forecast_demand,actual_demand,stock_available,stock_cover_weeks,reorder_point,lead_time_days,stockout_risk,overstock_risk,waitlist_count,sales_velocity,unit_cost_usd
2025-01-27,Jan 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,16,Low,Low,16,0.2,259608.6
2025-02-26,Feb 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,56,Low,Low,14,0.2,259608.6
2025-03-28,Mar 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,66,Low,Low,6,0.0,259608.6
2025-04-27,Apr 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,44,Low,Low,13,0.0,259608.6
2025-05-27,May 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,60,Low,Low,4,0.2,259608.6
2025-06-26,Jun 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,60,Low,Low,4,0.0,259608.6
2025-07-26,Jul 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,19,Low,Low,14,0.0,259608.6
2025-08-25,Aug 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,59,Low,Low,8,0.0,259608.6
2025-09-24,Sep 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,0,0,0.0,0,24,High,Low,13,0.0,259608.6
2025-10-24,Oct 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,41,Low,Low,6,0.2,259608.6
2025-11-23,Nov 2025,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,31,Low,Low,2,0.2,259608.6
2024-07-01,Jul 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,11,Low,Low,2,0.5,259608.6
2024-07-31,Jul 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,36,Low,Low,15,0.5,259608.6
2024-08-30,Aug 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,4,4,5,5.0,1,44,Low,Medium,20,1.0,259608.6
2024-09-29,Sep 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,5,6,5.0,2,32,Low,Low,25,1.2,259608.6
2024-10-29,Oct 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,6,5,6,5.0,2,31,Low,Low,22,1.2,259608.6
2024-11-28,Nov 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,4,3,3.0,2,40,Medium,Low,12,1.0,259608.6
2024-12-28,Dec 2024,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,6,6,8,5.7,2,21,Low,Medium,20,1.4,259608.6
2025-01-27,Jan 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,7,6,7,5.0,2,18,Low,Low,20,1.4,259608.6
2025-02-26,Feb 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,7,7,8,4.7,2,44,Low,Low,35,1.7,259608.6
2025-03-28,Mar 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,5,5,4.2,2,40,Low,Low,35,1.2,259608.6
2025-04-27,Apr 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,4,3,5,7.1,1,19,Low,Medium,17,0.7,259608.6
2025-05-27,May 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,4,5,5.0,2,25,Low,Low,32,1.0,259608.6
2025-06-26,Jun 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,4,3,5,7.1,1,25,Low,Medium,30,0.7,259608.6
2025-07-26,Jul 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,3,3,4,5.7,1,26,Low,Medium,25,0.7,259608.6
2025-08-25,Aug 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,4,4,3,3.0,1,19,Low,Low,35,1.0,259608.6
2025-09-24,Sep 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,4,5,5.0,2,37,Low,Low,27,1.0,259608.6
2025-10-24,Oct 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,6,5,6,5.0,2,40,Low,Low,17,1.2,259608.6
2025-11-23,Nov 2025,cn-1,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,5,4,5,5.0,2,18,Low,Low,35,1.0,259608.6
2024-07-01,Jul 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,73,Medium,Low,7,0.5,259608.6
2024-07-31,Jul 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,75,Medium,Low,1,0.5,259608.6
2024-08-30,Aug 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,60,Low,Low,9,0.5,259608.6
2024-09-29,Sep 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,2,4.0,1,34,Medium,Low,14,0.5,259608.6
2024-10-29,Oct 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,31,Low,Low,16,0.5,259608.6
2024-11-28,Nov 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,2,4.0,1,47,Medium,Low,16,0.5,259608.6
2024-12-28,Dec 2024,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,4,4,3,3.0,1,67,Low,Low,13,1.0,259608.6
2025-01-27,Jan 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,4,4,4,4.0,1,76,Low,Low,7,1.0,259608.6
2025-02-26,Feb 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,4,4,3,3.0,1,67,Low,Low,4,1.0,259608.6
2025-03-28,Mar 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,2,2,4.0,1,50,Medium,Low,3,0.5,259608.6
2025-04-27,Apr 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,44,Medium,Low,16,0.5,259608.6
2025-05-27,May 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,3,2,2.9,1,67,Medium,Low,9,0.7,259608.6
2025-06-26,Jun 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,81,Low,Low,4,0.5,259608.6
2025-07-26,Jul 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,16,Medium,Low,6,0.5,259608.6
2025-08-25,Aug 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,73,Low,Low,1,0.5,259608.6
2025-09-24,Sep 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,3,3,4.3,1,78,Low,Low,7,0.7,259608.6
2025-10-24,Oct 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,3,4,5.7,1,83,Low,Medium,13,0.7,259608.6
2025-11-23,Nov 2025,cn-2,Aurelle Kerry Centre Shanghai,China,High Jewellery,Maison Panthère Necklace,3,3,3,4.3,1,76,Low,Low,14,0.7,259608.6
2024-07-01,Jul 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,5,4,4,4.0,2,39,Low,Low,10,1.0,259608.6
2024-07-31,Jul 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,5,5,6,5.0,2,36,Low,Low,32,1.2,259608.6
2024-08-30,Aug 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,5,4,4,4.0,2,30,Low,Low,35,1.0,259608.6
2024-09-29,Sep 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,8,8,6,3.2,3,10,Low,Low,10,1.9,259608.6
2024-10-29,Oct 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,8,8,7,3.7,3,14,Low,Low,12,1.9,259608.6
2024-11-28,Nov 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,7,6,8,5.7,2,38,Low,Low,15,1.4,259608.6
2024-12-28,Dec 2024,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,9,9,11,5.2,3,36,Low,Medium,35,2.1,259608.6
2025-01-27,Jan 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,10,11,9,3.5,4,14,Low,Low,25,2.6,259608.6
2025-02-26,Feb 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,9,7,12,7.1,3,11,Low,Medium,10,1.7,259608.6
2025-03-28,Mar 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,7,5,7,5.8,2,33,Low,Low,27,1.2,259608.6
2025-04-27,Apr 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,6,5,8,6.7,2,32,Low,Medium,10,1.2,259608.6
2025-05-27,May 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,7,7,5,2.9,2,11,Medium,Low,20,1.7,259608.6
2025-06-26,Jun 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,6,6,8,5.7,2,17,Low,Medium,10,1.4,259608.6
2025-07-26,Jul 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,5,5,5,4.2,2,22,Low,Low,25,1.2,259608.6
2025-08-25,Aug 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,5,5,4,3.3,2,28,Low,Low,10,1.2,259608.6
2025-09-24,Sep 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,8,7,7,4.1,3,40,Low,Low,20,1.7,259608.6
2025-10-24,Oct 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,8,9,7,3.3,3,42,Low,Low,7,2.1,259608.6
2025-11-23,Nov 2025,cn-3,Aurelle SKP Beijing,China,High Jewellery,Maison Panthère Necklace,7,6,6,4.3,2,40,Low,Low,7,1.4,259608.6
2024-07-01,Jul 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,15,High,Low,6,0.2,259608.6
2024-07-31,Jul 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,30,Low,Low,4,0.2,259608.6
2024-08-30,Aug 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,21,High,Low,15,0.2,259608.6
2024-09-29,Sep 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,27,Low,Low,14,0.5,259608.6
2024-10-29,Oct 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,77,Low,Low,13,0.5,259608.6
2024-11-28,Nov 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,29,Medium,Low,14,0.5,259608.6
2024-12-28,Dec 2024,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,1,1,4.0,0,18,Medium,Low,1,0.2,259608.6
2025-01-27,Jan 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,87,Low,Low,1,0.2,259608.6
2025-02-26,Feb 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,76,Low,Low,2,0.5,259608.6
2025-03-28,Mar 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,56,Medium,Low,1,0.5,259608.6
2025-04-27,Apr 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,59,Low,Low,16,0.0,259608.6
2025-05-27,May 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,1,1,4.0,0,23,Medium,Low,2,0.2,259608.6
2025-06-26,Jun 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,72,High,Low,6,0.2,259608.6
2025-07-26,Jul 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,58,Low,Low,4,0.2,259608.6
2025-08-25,Aug 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,1,0,0,0.0,0,47,High,Low,2,0.0,259608.6
2025-09-24,Sep 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,82,Low,Low,12,0.2,259608.6
2025-10-24,Oct 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,23,Low,Low,16,0.2,259608.6
2025-11-23,Nov 2025,cn-4,Aurelle Taikoo Li Chengdu,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,46,Medium,Low,7,0.5,259608.6
2024-07-01,Jul 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,46,High,Low,9,0.2,259608.6
2024-07-31,Jul 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,64,High,Low,6,0.2,259608.6
2024-08-30,Aug 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,75,Low,Low,12,0.2,259608.6
2024-09-29,Sep 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,44,Low,Low,3,0.5,259608.6
2024-10-29,Oct 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,30,Low,Low,7,0.5,259608.6
2024-11-28,Nov 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,1,1,4.0,0,43,Medium,Low,4,0.2,259608.6
2024-12-28,Dec 2024,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,1,1,4.0,0,29,Medium,Low,1,0.2,259608.6
2025-01-27,Jan 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,42,Medium,Low,7,0.5,259608.6
2025-02-26,Feb 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,71,Low,Low,12,0.5,259608.6
2025-03-28,Mar 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,69,Low,Low,16,0.5,259608.6
2025-04-27,Apr 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,20,Low,Low,12,0.0,259608.6
2025-05-27,May 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,42,Low,Low,2,0.5,259608.6
2025-06-26,Jun 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,49,Low,Low,9,0.0,259608.6
2025-07-26,Jul 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,44,Low,Low,16,0.0,259608.6
2025-08-25,Aug 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,1,0,0,0.0,0,90,High,Low,12,0.0,259608.6
2025-09-24,Sep 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,32,Low,Low,15,0.2,259608.6
2025-10-24,Oct 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,89,Medium,Low,6,0.5,259608.6
2025-11-23,Nov 2025,cn-5,Aurelle MixC Shenzhen,China,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,47,Low,Low,3,0.2,259608.6
2024-07-01,Jul 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,14,Low,Low,30,0.2,259608.6
2024-07-31,Jul 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,10,High,Low,15,0.2,259608.6
2024-08-30,Aug 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,40,High,Low,17,0.2,259608.6
2024-09-29,Sep 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,18,Low,Low,10,0.2,259608.6
2024-10-29,Oct 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,45,Low,Low,2,0.5,259608.6
2024-11-28,Nov 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,19,Medium,Low,17,0.5,259608.6
2024-12-28,Dec 2024,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,43,Low,Low,20,0.5,259608.6
2025-01-27,Jan 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,1,2,8.0,0,23,Low,Low,17,0.2,259608.6
2025-02-26,Feb 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,42,Medium,Low,22,0.5,259608.6
2025-03-28,Mar 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,29,Medium,Low,32,0.5,259608.6
2025-04-27,Apr 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,42,Low,Low,15,0.2,259608.6
2025-05-27,May 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,21,Low,Low,20,0.5,259608.6
2025-06-26,Jun 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,45,Low,Low,5,0.2,259608.6
2025-07-26,Jul 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,25,Low,Low,35,0.0,259608.6
2025-08-25,Aug 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,24,Low,Low,30,0.0,259608.6
2025-09-24,Sep 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,2,4.0,0,21,Low,Low,5,0.5,259608.6
2025-10-24,Oct 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,1,1,4.0,0,33,Medium,Low,5,0.2,259608.6
2025-11-23,Nov 2025,jp-1,Aurelle Mansion Tokyo Ginza,Japan,High Jewellery,Maison Panthère Necklace,2,2,1,2.0,0,43,Medium,Low,35,0.5,259608.6
2024-07-01,Jul 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,15,Low,Low,3,0.0,259608.6
2024-07-31,Jul 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,41,Low,Low,14,0.0,259608.6
2024-08-30,Aug 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,75,Low,Low,10,0.0,259608.6
2024-09-29,Sep 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,19,Low,Low,14,0.0,259608.6
2024-10-29,Oct 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,74,Low,Low,15,0.0,259608.6
2024-11-28,Nov 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,89,Low,Low,8,0.2,259608.6
2024-12-28,Dec 2024,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,75,High,Low,15,0.2,259608.6
2025-01-27,Jan 2025,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,56,Low,Low,15,0.0,259608.6
2025-02-26,Feb 2025,jp-2,Aurelle Omotesando Tokyo,Japan,High Jewellery,Maison Panthère Necklace,1,1,0,0.0,0,76,High,Low,9,0.2,259608.6
