shipment_id,origin,destination_hub,destination_boutique,market,category,product,reference_sku,units_ordered,units_shipped,ship_date,estimated_arrival,actual_arrival,shipment_status,transport_mode,customs_status,delay_days,delay_reason,priority_flag,linked_vic_client,unit_cost_usd,total_shipment_value
SHP-2026-1011,Switzerland Factory,Hong Kong Hub,Aurelle Peninsula Hong Kong,Hong Kong,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-WG,12,12,2026-06-16,2026-06-22,,Customs Hold,Courier,Under Review,8,Customs clearance delay,False,,5100.0,61200.0
SHP-2026-1012,Singapore DC,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Watches,Baignoire Watch,W-BAIGNOIRE-S-WG-DM,6,6,2026-06-17,2026-06-24,,In Transit,Air Freight,Cleared,0,,True,CRT-JA-1161,16500.0,99000.0
SHP-2026-1013,Switzerland Factory,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-PG,5,5,2026-06-14,2026-06-19,,Delayed,Courier,Pending,5,Logistics congestion,False,,2950.0,14750.0
SHP-2026-1014,Switzerland Factory,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-YG,7,7,2026-06-03,2026-06-12,2026-06-12,Delivered,Courier,Cleared,0,,False,,2867.73,20074.11
SHP-2026-1015,Switzerland Factory,Singapore DC,Aurelle Siam Paragon Bangkok,Thailand,Watches,Ballon Bleu de Aurelle,W-BBLUE-M-SS-BLU,4,0,2026-06-27,2026-07-03,,Ordered,Air Freight,N/A,0,,False,,16128.28,64513.12
SHP-2026-1016,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-YG,8,8,2026-06-02,2026-06-12,2026-06-11,Delivered,Courier,Cleared,0,,False,,2867.73,22941.84
SHP-2026-1017,Switzerland Factory,Hong Kong Hub,Aurelle Landmark Prince's Hong Kong,Hong Kong,Watches,Panthère de Aurelle Watch,W-PANTHERE-M-SS-SLV,2,2,2026-06-06,2026-06-17,2026-06-18,Delivered,Air Freight,Cleared,1,,False,,7500.0,15000.0
SHP-2026-1018,Switzerland Factory,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Fine Jewellery,Trinity Ring Classic,J-TRINITY-BRAC-CL,14,14,2026-06-18,2026-06-28,,In Transit,Courier,Cleared,0,,False,,6500.0,91000.0
SHP-2026-1019,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Watches,Santos de Aurelle,W-SANTOS-L-SS-WHT,5,5,2026-06-20,2026-07-01,,In Transit,Air Freight,Pending,0,,False,,14500.0,72500.0
SHP-2026-1020,Singapore DC,Hong Kong Hub,Aurelle Peninsula Hong Kong,Hong Kong,Watches,Ballon Bleu de Aurelle,W-BBLUE-M-SS-BLU,5,5,2026-06-07,2026-06-14,2026-06-16,Delivered,Air Freight,Cleared,2,,False,,16128.28,80641.4
SHP-2026-1021,Switzerland Factory,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-YG,7,7,2026-06-17,2026-06-23,,In Transit,Courier,Cleared,0,,False,,4741.44,33190.08
SHP-2026-1022,Singapore DC,Hong Kong Hub,Aurelle Shinsaibashi Osaka,Japan,Fine Jewellery,Juste un Clou Bracelet,J-JUC-RING-YG,10,10,2026-05-31,2026-06-08,2026-06-09,Delivered,Courier,Cleared,1,,False,,2200.0,22000.0
SHP-2026-1023,Singapore DC,Singapore DC,Aurelle ION Orchard Singapore,Singapore,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-PG,15,15,2026-06-19,2026-06-28,,In Transit,Courier,Pending,0,,False,,2950.0,44250.0
SHP-2026-1024,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Tank Must,W-TANK-L-SS-BLK,3,3,2026-05-26,2026-05-31,2026-05-30,Delivered,Air Freight,Cleared,0,,False,,8900.0,26700.0
SHP-2026-1025,Singapore DC,Hong Kong Hub,Aurelle Omotesando Tokyo,Japan,Watches,Ballon Bleu de Aurelle,W-BBLUE-S-SS-PNK,6,0,2026-07-01,2026-07-14,,Ordered,Air Freight,N/A,0,,False,,12000.0,72000.0
SHP-2026-1026,Singapore DC,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Watches,Panthère de Aurelle Watch,W-PANTHERE-M-SS-SLV,3,3,2026-06-14,2026-06-19,,Delayed,Air Freight,Pending,5,Logistics congestion,True,CRT-JA-1592,7500.0,22500.0
SHP-2026-1027,Singapore DC,Hong Kong Hub,Aurelle SKP Beijing,China,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-SS-SLV,3,3,2026-06-22,2026-06-29,,In Transit,Air Freight,Pending,0,,False,,6200.0,18600.0
SHP-2026-1028,Singapore DC,Hong Kong Hub,Aurelle Omotesando Tokyo,Japan,Watches,Santos de Aurelle,W-SANTOS-L-YG-BRN,2,2,2026-06-22,2026-06-29,,In Transit,Air Freight,Cleared,0,,False,,28000.0,56000.0
SHP-2026-1029,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Watches,Tank Must,W-TANK-S-SS-WHT,4,4,2026-06-22,2026-07-04,,In Transit,Air Freight,Cleared,0,,True,CRT-CH-1177,7843.85,31375.4
SHP-2026-1030,Singapore DC,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-YG-WHT,2,2,2026-06-19,2026-06-30,,In Transit,Air Freight,Cleared,0,,False,,9074.71,18149.42
SHP-2026-1031,Singapore DC,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Fine Jewellery,Clash de Aurelle Ring,J-CLASH-RING-RG,6,6,2026-06-10,2026-06-16,2026-06-16,Delivered,Courier,Cleared,0,,False,,3879.4,23276.4
SHP-2026-1032,Switzerland Factory,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Watches,Santos de Aurelle,W-SANTOS-L-SS-WHT,6,6,2026-05-31,2026-06-11,2026-06-10,Delivered,Air Freight,Cleared,0,,False,,14500.0,87000.0
SHP-2026-1033,Switzerland Factory,Hong Kong Hub,Aurelle Kerry Centre Shanghai,China,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,15,15,2026-06-13,2026-06-21,,Delayed,Courier,Pending,6,Logistics congestion,True,CRT-CH-2694,5500.0,82500.0
SHP-2026-1034,Switzerland Factory,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-WG,11,11,2026-06-15,2026-06-22,,Delayed,Courier,Pending,6,Logistics congestion,False,,5100.0,56100.0
SHP-2026-1035,Switzerland Factory,Hong Kong Hub,Aurelle Omotesando Tokyo,Japan,Fine Jewellery,Juste un Clou Bracelet,J-JUC-RING-YG,7,7,2026-05-30,2026-06-05,2026-06-04,Delivered,Courier,Cleared,0,,False,,2200.0,15400.0
SHP-2026-1036,Switzerland Factory,Hong Kong Hub,Aurelle Kerry Centre Shanghai,China,Watches,Santos de Aurelle,W-SANTOS-L-SS-WHT,4,4,2026-06-18,2026-06-23,,In Transit,Air Freight,Cleared,0,,False,,14500.0,58000.0
SHP-2026-1037,Singapore DC,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Watches,Panthère de Aurelle Watch,W-PANTHERE-M-SS-SLV,5,5,2026-06-17,2026-06-28,,In Transit,Air Freight,Cleared,0,,False,,7500.0,37500.0
SHP-2026-1038,Singapore DC,Hong Kong Hub,Aurelle Shinsaibashi Osaka,Japan,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,10,10,2026-06-18,2026-06-26,,In Transit,Courier,Pending,0,,False,,5500.0,55000.0
SHP-2026-1039,Singapore DC,Hong Kong Hub,Aurelle Kerry Centre Shanghai,China,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-WG,13,13,2026-06-06,2026-06-14,2026-06-16,Delivered,Courier,Cleared,2,,False,,5100.0,66300.0
SHP-2026-1040,Switzerland Factory,Hong Kong Hub,Aurelle Landmark Prince's Hong Kong,Hong Kong,Fine Jewellery,Juste un Clou Bracelet,J-JUC-RING-YG,15,15,2026-06-20,2026-06-25,,In Transit,Courier,Pending,0,,False,,2200.0,33000.0
SHP-2026-1041,Singapore DC,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-PG,10,10,2026-06-12,2026-06-18,,Customs Hold,Courier,Under Review,8,Customs clearance delay,False,,2950.0,29500.0
SHP-2026-1042,Singapore DC,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-YG-WHT,2,2,2026-05-29,2026-06-06,2026-06-08,Delivered,Air Freight,Cleared,2,,False,,9074.71,18149.42
SHP-2026-1043,Switzerland Factory,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Fine Jewellery,Clash de Aurelle Ring,J-CLASH-RING-RG,9,9,2026-05-27,2026-06-02,2026-06-01,Delivered,Courier,Cleared,0,,False,,3879.4,34914.6
SHP-2026-1044,Switzerland Factory,Hong Kong Hub,Aurelle Peninsula Hong Kong,Hong Kong,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-WG,9,9,2026-06-19,2026-07-01,,In Transit,Courier,Cleared,0,,False,,5100.0,45900.0
SHP-2026-1045,Singapore DC,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-YG-WHT,2,2,2026-06-15,2026-06-22,,Delayed,Air Freight,Pending,8,Logistics congestion,False,,9074.71,18149.42
SHP-2026-1046,Singapore DC,Singapore DC,Aurelle Siam Paragon Bangkok,Thailand,Watches,Baignoire Watch,W-BAIGNOIRE-M-YG,4,4,2026-06-19,2026-06-24,,In Transit,Air Freight,Pending,0,,False,,12500.0,50000.0
SHP-2026-1047,Singapore DC,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Watches,Tank Must,W-TANK-M-YG-SLV,4,4,2026-06-15,2026-06-20,,Delayed,Air Freight,Pending,6,Logistics congestion,False,,18500.0,74000.0
SHP-2026-1048,Switzerland Factory,Hong Kong Hub,Aurelle Taikoo Li Chengdu,China,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-WG,13,13,2026-05-29,2026-06-08,2026-06-07,Delivered,Courier,Cleared,0,,False,,5834.47,75848.11
SHP-2026-1049,Switzerland Factory,Hong Kong Hub,Aurelle Peninsula Hong Kong,Hong Kong,Watches,Baignoire Watch,W-BAIGNOIRE-S-WG-DM,5,5,2026-06-20,2026-07-01,,In Transit,Air Freight,Cleared,0,,False,,16500.0,82500.0
SHP-2026-1050,Singapore DC,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-PG,11,11,2026-06-04,2026-06-11,2026-06-14,Delivered,Courier,Cleared,3,,False,,2950.0,32450.0
SHP-2026-1051,Singapore DC,Singapore DC,Aurelle ION Orchard Singapore,Singapore,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-SS-SLV,2,2,2026-05-27,2026-06-07,2026-06-10,Delivered,Air Freight,Cleared,3,,False,,6200.0,12400.0
SHP-2026-1052,Singapore DC,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-YG,8,8,2026-06-21,2026-06-27,,In Transit,Courier,Cleared,0,,False,,1800.0,14400.0
SHP-2026-1053,Singapore DC,Singapore DC,Aurelle DLF Chanakya Delhi,India,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-YG,10,10,2026-05-25,2026-06-01,2026-06-01,Delivered,Courier,Cleared,0,,False,,4741.44,47414.4
SHP-2026-1054,Singapore DC,Hong Kong Hub,Aurelle Omotesando Tokyo,Japan,Fine Jewellery,Clash de Aurelle Ring,J-CLASH-RING-RG,14,14,2026-05-25,2026-05-31,2026-05-31,Delivered,Courier,Cleared,0,,True,CRT-JA-3023,3879.4,54311.6
SHP-2026-1055,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Baignoire Watch,W-BAIGNOIRE-M-YG,6,6,2026-06-11,2026-06-18,,Delayed,Air Freight,Pending,4,Logistics congestion,False,,12500.0,75000.0
SHP-2026-1056,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-YG,9,9,2026-06-18,2026-06-23,,In Transit,Courier,Cleared,0,,False,,4741.44,42672.96
SHP-2026-1057,Singapore DC,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-SS-SLV,2,2,2026-06-20,2026-06-26,,In Transit,Air Freight,Cleared,0,,True,CRT-MA-1369,6200.0,12400.0
SHP-2026-1058,Switzerland Factory,Singapore DC,Aurelle DLF Chanakya Delhi,India,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,14,14,2026-06-13,2026-06-25,2026-06-28,Delivered,Courier,Cleared,3,,False,,3100.0,43400.0
SHP-2026-1059,Singapore DC,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,13,13,2026-06-22,2026-07-04,,In Transit,Courier,Pending,0,,True,CRT-SO-2406,5500.0,71500.0
SHP-2026-1060,Singapore DC,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Fine Jewellery,Clash de Aurelle Ring,J-CLASH-RING-WG,7,7,2026-06-17,2026-06-29,,In Transit,Courier,Cleared,0,,False,,4150.0,29050.0
SHP-2026-1061,Singapore DC,Hong Kong Hub,Aurelle Taikoo Li Chengdu,China,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-YG-WHT,4,4,2026-06-04,2026-06-09,2026-06-10,Delivered,Air Freight,Cleared,1,,False,,9074.71,36298.84
SHP-2026-1062,Singapore DC,Hong Kong Hub,Aurelle Kerry Centre Shanghai,China,Watches,Tank Must,W-TANK-S-SS-WHT,5,5,2026-06-17,2026-06-24,,In Transit,Air Freight,Cleared,0,,False,,7843.85,39219.25
SHP-2026-1063,Switzerland Factory,Hong Kong Hub,Aurelle SKP Beijing,China,Fine Jewellery,Juste un Clou Bracelet,J-JUC-RING-YG,9,9,2026-06-13,2026-06-21,,Customs Hold,Courier,Under Review,5,Customs clearance delay,False,,2200.0,19800.0
SHP-2026-1064,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Fine Jewellery,Clash de Aurelle Ring,J-CLASH-RING-WG,11,11,2026-06-04,2026-06-11,2026-06-14,Delivered,Courier,Cleared,3,,False,,4150.0,45650.0
SHP-2026-1065,Singapore DC,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,Trinity Ring Classic,J-TRINITY-RING-LM,5,5,2026-06-21,2026-06-29,,In Transit,Courier,Cleared,0,,False,,2850.0,14250.0
SHP-2026-1066,Singapore DC,Hong Kong Hub,Aurelle MixC Shenzhen,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-YG,7,7,2026-06-05,2026-06-11,2026-06-14,Delivered,Courier,Cleared,3,,False,,1800.0,12600.0
SHP-2026-1067,Singapore DC,Hong Kong Hub,Aurelle Peninsula Hong Kong,Hong Kong,Watches,Ballon Bleu de Aurelle,W-BBLUE-M-SS-BLU,6,6,2026-06-19,2026-06-26,,In Transit,Air Freight,Pending,0,,False,,16128.28,96769.68
SHP-2026-1068,Switzerland Factory,Hong Kong Hub,Aurelle Taikoo Li Chengdu,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-YG,5,5,2026-06-17,2026-06-25,,In Transit,Courier,Cleared,0,,False,,1800.0,9000.0
SHP-2026-1069,Singapore DC,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Fine Jewellery,Trinity Ring Classic,J-TRINITY-BRAC-CL,8,8,2026-05-30,2026-06-07,2026-06-08,Delivered,Courier,Cleared,1,,False,,6500.0,52000.0
SHP-2026-1070,Switzerland Factory,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-WG,9,9,2026-06-18,2026-06-29,,In Transit,Courier,Cleared,0,,False,,1950.0,17550.0
SHP-2026-1071,Switzerland Factory,Hong Kong Hub,Aurelle SKP Beijing,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-WG,5,5,2026-06-12,2026-06-19,,Customs Hold,Courier,Under Review,8,Customs clearance delay,True,CRT-CH-3113,1950.0,9750.0
SHP-2026-1072,Singapore DC,Hong Kong Hub,Aurelle SKP Beijing,China,Watches,Tank Must,W-TANK-M-YG-SLV,3,3,2026-05-29,2026-06-05,2026-06-07,Delivered,Air Freight,Cleared,2,,False,,18500.0,55500.0
SHP-2026-1073,Switzerland Factory,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,10,10,2026-06-10,2026-06-15,,Delayed,Courier,Pending,6,Logistics congestion,False,,3100.0,31000.0
SHP-2026-1074,Singapore DC,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,6,6,2026-06-14,2026-06-24,2026-06-23,Delivered,Courier,Cleared,0,,False,,5500.0,33000.0
SHP-2026-1075,Singapore DC,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,7,7,2026-06-09,2026-06-15,,Delayed,Courier,Pending,8,Logistics congestion,False,,3100.0,21700.0
SHP-2026-1076,Singapore DC,Hong Kong Hub,Aurelle Landmark Prince's Hong Kong,Hong Kong,Watches,Santos de Aurelle,W-SANTOS-L-YG-BRN,2,2,2026-06-12,2026-06-18,,Customs Hold,Air Freight,Under Review,8,Customs clearance delay,True,CRT-HO-3493,28000.0,56000.0
SHP-2026-1077,Singapore DC,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,Trinity Ring Classic,J-TRINITY-RING-LM,9,9,2026-06-11,2026-06-16,2026-06-16,Delivered,Courier,Cleared,0,,False,,2850.0,25650.0
SHP-2026-1078,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Ballon Bleu de Aurelle,W-BBLUE-L-YG-SLV,5,5,2026-06-14,2026-06-22,2026-06-22,Delivered,Air Freight,Cleared,0,,False,,24000.0,120000.0
SHP-2026-1079,Singapore DC,Hong Kong Hub,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Trinity HJ Cuff,HJ-TRINITY-CUFF,1,1,2026-06-19,2026-06-26,,In Transit,Air Freight,Cleared,0,,True,CRT-HO-1350,228231.04,228231.04
SHP-2026-1080,Switzerland Factory,Singapore DC,Aurelle ION Orchard Singapore,Singapore,Watches,Panthère de Aurelle Watch,W-PANTHERE-M-SS-SLV,6,6,2026-05-29,2026-06-03,2026-06-05,Delivered,Air Freight,Cleared,2,,True,CRT-SI-1178,7500.0,45000.0
SHP-2026-1081,Switzerland Factory,Singapore DC,Aurelle Castlereagh St Sydney,Australia,Watches,Ballon Bleu de Aurelle,W-BBLUE-L-YG-SLV,4,0,2026-06-27,2026-07-03,,Ordered,Air Freight,N/A,0,,False,,24000.0,96000.0
SHP-2026-1082,Singapore DC,Hong Kong Hub,Aurelle Kerry Centre Shanghai,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,10,10,2026-06-11,2026-06-18,,Delayed,Courier,Pending,8,Logistics congestion,False,,3100.0,31000.0
SHP-2026-1083,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Baignoire Watch,W-BAIGNOIRE-M-YG,5,0,2026-07-01,2026-07-08,,Ordered,Air Freight,N/A,0,,False,,12500.0,62500.0
SHP-2026-1084,Singapore DC,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Ballon Bleu de Aurelle,W-BBLUE-L-YG-SLV,3,3,2026-06-08,2026-06-13,2026-06-14,Delivered,Air Freight,Cleared,1,,True,CRT-MA-3111,24000.0,72000.0
SHP-2026-1085,Switzerland Factory,Singapore DC,Aurelle Castlereagh St Sydney,Australia,Fine Jewellery,Juste un Clou Bracelet,J-JUC-BRAC-YG,13,0,2026-06-25,2026-07-10,,Ordered,Courier,N/A,0,,False,,4741.44,61638.72
SHP-2026-1086,Switzerland Factory,Singapore DC,Aurelle ION Orchard Singapore,Singapore,Watches,Ballon Bleu de Aurelle,W-BBLUE-M-SS-BLU,2,2,2026-06-11,2026-06-18,,Delayed,Air Freight,Pending,3,Logistics congestion,False,,16128.28,32256.56
SHP-2026-1087,Switzerland Factory,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-YG,12,12,2026-06-15,2026-06-22,,Customs Hold,Courier,Under Review,5,Customs clearance delay,False,,2867.73,34412.76
SHP-2026-1088,Singapore DC,Singapore DC,Aurelle DLF Chanakya Delhi,India,Watches,Santos de Aurelle,W-SANTOS-M-SS-BLK,6,6,2026-06-12,2026-06-23,2026-06-22,Delivered,Air Freight,Cleared,0,,False,,12418.57,74511.42
SHP-2026-1089,Singapore DC,Hong Kong Hub,Aurelle MixC Shenzhen,China,Watches,Tank Must,W-TANK-S-SS-WHT,4,4,2026-06-20,2026-06-29,,In Transit,Air Freight,Cleared,0,,False,,7843.85,31375.4
SHP-2026-1090,Singapore DC,Singapore DC,Aurelle Collins St Melbourne,Australia,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,12,12,2026-06-13,2026-06-23,2026-06-26,Delivered,Courier,Cleared,3,,True,CRT-AU-2124,5500.0,66000.0
SHP-2026-1091,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,High Jewellery,Maison Panthère Necklace,HJ-PANTHERE-NECK,1,1,2026-06-03,2026-06-10,2026-06-09,Delivered,Air Freight,Cleared,0,,True,CRT-CH-1584,259608.6,259608.6
SHP-2026-1092,Singapore DC,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,6,6,2026-05-25,2026-06-04,2026-06-05,Delivered,Courier,Cleared,1,,False,,3100.0,18600.0
SHP-2026-1093,Switzerland Factory,Hong Kong Hub,Aurelle Landmark Prince's Hong Kong,Hong Kong,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-WG,15,15,2026-06-20,2026-06-30,,In Transit,Courier,Cleared,0,,False,,5834.47,87517.05
SHP-2026-1094,Singapore DC,Hong Kong Hub,Aurelle SKP Beijing,China,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-YG,11,11,2026-06-20,2026-06-28,,In Transit,Courier,Cleared,0,,False,,1800.0,19800.0
SHP-2026-1095,Switzerland Factory,Hong Kong Hub,Aurelle MixC Shenzhen,China,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-SS-SLV,5,5,2026-06-22,2026-07-01,,In Transit,Air Freight,Cleared,0,,False,,6200.0,31000.0
SHP-2026-1096,Switzerland Factory,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Watches,Ballon Bleu de Aurelle,W-BBLUE-S-SS-PNK,4,0,2026-06-28,2026-07-06,,Ordered,Air Freight,N/A,0,,False,,12000.0,48000.0
SHP-2026-1097,Switzerland Factory,Hong Kong Hub,Aurelle Plaza 66 Shanghai,China,Watches,Baignoire Watch,W-BAIGNOIRE-S-WG-DM,5,5,2026-06-17,2026-06-27,,In Transit,Air Freight,Cleared,0,,False,,16500.0,82500.0
SHP-2026-1098,Switzerland Factory,Hong Kong Hub,Aurelle Cheongdam Maison Seoul,South Korea,High Jewellery,Cactus de Aurelle Collier,HJ-CACTUS-COLL,1,1,2026-06-13,2026-06-19,,Customs Hold,Air Freight,Under Review,10,Customs clearance delay,True,CRT-SO-2480,299658.81,299658.81
SHP-2026-1099,Switzerland Factory,Singapore DC,Aurelle DLF Chanakya Delhi,India,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-RING-YG,8,8,2026-06-07,2026-06-19,2026-06-18,Delivered,Courier,Cleared,0,,False,,1800.0,14400.0
