campaign,market,media_type,budget_usd,actual_usd,variance_usd,variance_pct,impressions,conversions,revenue_attributed,roi,cpm,status,quarter
CNY Collection Campaign,India,PR,359281.41,399548.81,40267.4,11.2,10366235,62,618358.52,54.8,38.54,Active,Q4 2025
CNY Collection Campaign,India,Digital,334975.43,393688.98,58713.55,17.5,10328407,225,786931.17,99.9,38.12,Completed,Q4 2025
CNY Collection Campaign,India,Influencer,100857.01,106785.78,5928.76,5.9,4224170,54,474100.41,344.0,25.28,Active,Q3 2025
Holiday Gifting Season,India,PR,264584.98,255869.73,-8715.25,-3.3,10011728,64,641881.74,150.9,25.56,Planned,Q4 2025
Holiday Gifting Season,India,CRM,671062.02,782283.78,111221.75,16.6,19890873,124,1476226.73,88.7,39.33,Active,Q1 2025
Holiday Gifting Season,India,OOH,183180.79,170622.71,-12558.08,-6.9,5334179,30,285630.58,67.4,31.99,Planned,Q4 2025
Holiday Gifting Season,India,Print,431503.46,485302.98,53799.52,12.5,18199386,266,836659.03,72.4,26.67,Active,Q4 2025
Boutique Mansion Renovation,Taiwan,Digital,135033.5,121603.21,-13430.29,-9.9,6140997,183,351077.31,188.7,19.8,Completed,Q1 2025
Boutique Mansion Renovation,Taiwan,CRM,159075.52,160078.21,1002.69,0.6,7195574,226,610482.41,281.4,22.25,Completed,Q1 2025
High Jewellery Genesis Launch,Taiwan,Print,400961.95,400244.97,-716.99,-0.2,9825700,99,1040153.83,159.9,40.73,Active,Q2 2025
High Jewellery Genesis Launch,Taiwan,Influencer,670123.89,714522.67,44398.78,6.6,23826487,323,2148786.28,200.7,29.99,Completed,Q4 2025
Clash de Aurelle Digital Push,Taiwan,PR,61436.93,64404.95,2968.03,4.8,1499214,20,155132.86,140.9,42.96,Completed,Q2 2025
Clash de Aurelle Digital Push,Taiwan,Digital,309251.35,297413.19,-11838.16,-3.8,6844398,110,920484.87,209.5,43.45,Completed,Q3 2025
Panthère Aesthetics Tour,Taiwan,PR,352065.1,322730.96,-29334.14,-8.3,9011599,84,621937.11,92.7,35.81,Completed,Q4 2025
Panthère Aesthetics Tour,Taiwan,Influencer,772709.59,803724.61,31015.02,4.0,17860742,192,2044074.93,154.3,45.0,Completed,Q1 2025
VIP Client Retreat Venice,Taiwan,CRM,436690.63,495097.9,58407.27,13.4,15354992,243,2216467.57,347.7,32.24,Completed,Q1 2025
VIP Client Retreat Venice,Taiwan,Influencer,404785.19,406664.45,1879.26,0.5,26698003,404,1799000.24,342.4,15.23,Active,Q3 2025
VIP Client Retreat Venice,Taiwan,Print,832385.56,889790.31,57404.75,6.9,36459293,113,1232189.95,38.5,24.41,Completed,Q4 2025
VIP Client Retreat Venice,Taiwan,Digital,290475.39,266818.3,-23657.09,-8.1,25144418,377,846678.16,217.3,10.61,Planned,Q1 2025
LOVE & Trinity Icons,Taiwan,Influencer,191851.44,185033.62,-6817.82,-3.6,4691201,91,804674.28,334.9,39.44,Planned,Q3 2025
LOVE & Trinity Icons,Taiwan,Print,320777.06,311836.78,-8940.28,-2.8,28071109,122,496972.84,59.4,11.11,Completed,Q4 2025
LOVE & Trinity Icons,Taiwan,CRM,121819.45,115048.09,-6771.36,-5.6,4786954,92,448113.22,289.5,24.03,Completed,Q4 2025
LOVE & Trinity Icons,Taiwan,OOH,841362.35,923971.51,82609.16,9.8,33160539,319,2718835.29,194.3,27.86,Completed,Q1 2025
CNY Collection Campaign,Taiwan,Influencer,437489.54,478359.52,40869.98,9.3,10745870,339,1936674.81,304.9,44.52,Completed,Q3 2025
CNY Collection Campaign,Taiwan,Digital,267954.61,278767.72,10813.11,4.0,11550266,161,704894.49,152.9,24.14,Completed,Q4 2025
CNY Collection Campaign,Taiwan,Events,415679.34,489335.09,73655.75,17.7,22007811,347,1765710.16,260.8,22.23,Completed,Q2 2025
CNY Collection Campaign,Taiwan,PR,97362.99,104210.87,6847.88,7.0,2327792,24,164893.12,58.2,44.77,Completed,Q3 2025
Holiday Gifting Season,Taiwan,Digital,329358.4,345432.68,16074.28,4.9,19078868,52,603073.14,74.6,18.11,Completed,Q2 2025
Holiday Gifting Season,Taiwan,CRM,441702.34,475422.57,33720.24,7.6,34500499,327,1154141.09,142.8,13.78,Completed,Q3 2025
Holiday Gifting Season,Taiwan,PR,739813.05,782048.5,42235.45,5.7,18872472,190,2021734.89,158.5,41.44,Completed,Q3 2025
LOVE & Trinity Icons,Macau,Print,193456.36,194759.73,1303.37,0.7,5736503,20,234818.74,20.6,33.95,Completed,Q4 2025
LOVE & Trinity Icons,Macau,OOH,482606.87,450859.71,-31747.16,-6.6,14272755,85,992894.86,120.2,31.59,Completed,Q2 2025
CNY Collection Campaign,Macau,OOH,353979.28,347802.3,-6176.98,-1.7,10352983,104,706282.03,103.1,33.59,Completed,Q2 2025
CNY Collection Campaign,Macau,Influencer,389927.43,392868.5,2941.06,0.8,27139895,348,944147.8,140.3,14.48,Active,Q4 2025
Santos de Aurelle Roadshow,Macau,CRM,849870.19,825051.08,-24819.11,-2.9,45842497,315,3029725.56,267.2,18.0,Completed,Q4 2025
Santos de Aurelle Roadshow,Macau,Influencer,634898.69,607163.96,-27734.73,-4.4,17403876,240,2344248.24,286.1,34.89,Completed,Q4 2025
Santos de Aurelle Roadshow,Macau,Digital,559029.84,590174.84,31145.0,5.6,50266022,155,1670386.25,183.0,11.74,Completed,Q3 2025
Santos de Aurelle Roadshow,Macau,PR,36859.45,38746.69,1887.24,5.1,2644585,9,92705.3,139.3,14.65,Completed,Q4 2025
Panthère Aesthetics Tour,Macau,CRM,177359.15,166967.64,-10391.51,-5.9,11417047,117,419930.14,151.5,14.62,Completed,Q2 2025
Panthère Aesthetics Tour,Macau,Influencer,509538.85,574112.29,64573.44,12.7,41578708,184,1323751.65,130.6,13.81,Active,Q2 2025
Panthère Aesthetics Tour,Macau,Events,836401.67,850840.49,14438.82,1.7,72157072,406,2051431.95,141.1,11.79,Completed,Q4 2025
Boutique Mansion Renovation,Macau,Events,549792.63,622337.16,72544.54,13.2,49270093,216,2052679.18,229.8,12.63,Completed,Q2 2025
Boutique Mansion Renovation,Macau,OOH,49169.12,47718.34,-1450.79,-3.0,2581891,9,77718.38,62.9,18.48,Completed,Q1 2025
Boutique Mansion Renovation,Macau,CRM,372974.36,374834.9,1860.54,0.5,13513246,249,999481.94,166.6,27.74,Active,Q2 2025
Boutique Mansion Renovation,Macau,Digital,726985.29,787910.65,60925.36,8.4,28112125,510,2402459.85,204.9,28.03,Planned,Q4 2025
Tank Must Relaunch,Macau,Digital,240454.28,269278.37,28824.1,12.0,6927387,206,570911.54,112.0,38.87,Completed,Q2 2025
Tank Must Relaunch,Macau,OOH,532667.96,573820.21,41152.24,7.7,35150061,98,930008.09,62.1,16.32,Active,Q1 2025
Tank Must Relaunch,Macau,PR,60952.74,59110.81,-1841.93,-3.0,1662774,19,177353.25,200.0,35.55,Completed,Q2 2025
Tank Must Relaunch,Macau,Print,610934.63,565418.93,-45515.7,-7.5,12648600,206,1424376.56,151.9,44.7,Completed,Q2 2025
Clash de Aurelle Digital Push,Macau,OOH,108919.41,120384.31,11464.9,10.5,7274955,119,226221.9,87.9,16.55,Completed,Q3 2025
Clash de Aurelle Digital Push,Macau,PR,810438.41,724194.06,-86244.35,-10.6,42387852,402,1565569.93,116.2,17.08,Active,Q1 2025
Holiday Gifting Season,Macau,PR,757836.8,791848.72,34011.92,4.5,22805086,110,1167705.64,47.5,34.72,Completed,Q2 2025
Holiday Gifting Season,Macau,OOH,660071.58,678327.3,18255.72,2.8,19118917,94,1026650.01,51.4,35.48,Completed,Q3 2025
Holiday Gifting Season,Macau,Influencer,656833.91,762377.28,105543.37,16.1,41643807,454,3551669.38,365.9,18.31,Planned,Q4 2025
Holiday Gifting Season,Macau,Digital,354590.35,392352.55,37762.2,10.6,14358839,112,1079297.24,175.1,27.32,Active,Q3 2025
